show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
116,MOVIE,Love Story 1804,,"Actor 289, Actor 1303",France,"April 11, 2015",,,10 Season,Sci-Fi,An emotional journey about life and relationships.
117,movie,Silent Voices 498,,,Germany,"September 18, 2024",2025.0,TV-MA,,Documentary,
118,Movie,Lost City 1108,,,UK,"October 06, 2023",,TV-MA,,Sci-Fi,Unexpected events change everything.
119,tv show,Urban Legends 1875,Director 88,"Actor 66, Actor 642",UK,27-11-2021,2013.0,,,Action,
120,Movie,Broken Dreams 1024,Dir. 325,,,2015-06-11,,R,7 Seasons,Documentary,Unexpected events change everything.
121,MOVIE,Hidden Truth 340,Director 82,,Australia,"April 14, 2025",,TV-MA,,Romance,
120,Movie,Hidden Truth 492,,,UK,2025-12-01,,R,74 min,Sci-Fi,An emotional journey about life and relationships.
123,tv show,Last Kingdom 1106,Director 326,,France,,1987.0,R,6 Season,Comedy,A gripping comedy story full of twists.
124,MOVIE,Ocean Secrets 331,,,,11/06/2025,1988.0,,4 Season,Documentary,A gripping documentary story full of twists.
125,movie,Mystery House 1587,Director 161,"Actor 219, Actor 813",Canada,30-01-2017,1985.0,PG,2 Seasons,Comedy,Unexpected events change everything.
126,movie,Broken Dreams 1615,Director 81,Actor 1705,,"August 13, 2021",1986.0,PG-13,,Action,An emotional journey about life and relationships.
127,tv show,Hidden Truth 1760,Director 23,"Actor 363, Actor 1188",United States,"February 16, 2016",2022.0,R,,Drama,
128,TV Show,Last Kingdom 380,Director 351,,,07/06/2018,2013.0,PG-13,197 min,Thriller,An emotional journey about life and relationships.
129,Movie,Silent Voices 1383,Director 103,,United States,11-03-2024,2010.0,,1 Seasons,Comedy,An emotional journey about life and relationships.
130,Movie,Broken Dreams 80,Director 88,Actor 242,Germany,"July 11, 2024",1984.0,PG-13,,Action,A gripping action story full of twists.
131,Movie,Last Kingdom 478,Dir. 197,,India,"November 13, 2022",,PG-13,82 min,Romance,An emotional journey about life and relationships.
132,MOVIE,Dark Crime 1661,,,United States,03/26/2022,2015.0,R,10 Seasons,Drama,A gripping drama story full of twists.
133,MOVIE,Secret Files 1658,Director 137,,Canada,2016-05-06,2009.0,PG-13,6 Seasons,Comedy,
134,movie,Silent Voices 155,,,France,2019-08-14,,NR,9 Seasons,Action,
135,TV Show,Silent Voices 228,Director 379,,United States,"July 21, 2023",,TV-MA,,Thriller,Unexpected events change everything.
6,MOVIE,Secret Files 604,Dir. 62,,Australia,08/23/2025,,R,89 min,Romance,An emotional journey about life and relationships.
137,MOVIE,Mystery House 1017,Dir. 241,Actor 493,India,05/12/2023,1982.0,TV-14,91 min,Comedy,Unexpected events change everything.
138,MOVIE,Broken Dreams 1827,Director 311,Actor 297,France,2019-08-25,,R,95 min,Sci-Fi,A gripping sci-fi story full of twists.
139,Movie,Midnight Tales 105,Director 195,"Actor 311, Actor 643",UK,12/19/2025,,NR,,Thriller,A gripping thriller story full of twists.
140,MOVIE,Urban Legends 1184,,,UK,"November 29, 2019",2007.0,PG-13,1 Seasons,Horror,A gripping horror story full of twists.
141,tv show,Silent Voices 680,Director 386,Actor 282,France,27-09-2021,,PG,6 Seasons,Romance,
142,movie,Hidden Truth 1826,,,,09/07/2025,,,5 Season,Horror,Unexpected events change everything.
143,Movie,Dark Crime 811,,"Actor 345, Actor 1270",Canada,,1987.0,TV-MA,,Comedy,Unexpected events change everything.
144,movie,Midnight Tales 820,,,,01-06-2017,2015.0,R,190 min,Horror,
145,tv show,Secret Files 1030,Dir. 181,Actor 936,Australia,"October 12, 2024",,R,6 Season,Horror,An emotional journey about life and relationships.
146,Movie,Love Story 952,,"Actor 228, Actor 639",Canada,"February 09, 2018",,R,1 Season,Romance,An emotional journey about life and relationships.
3,Movie,Dark Crime 881,Director 474,,United States,,,PG-13,53 min,Documentary,An emotional journey about life and relationships.
148,tv show,Secret Files 1680,Dir. 341,,Australia,,,TV-14,11 Seasons,Sci-Fi,
149,TV Show,Urban Legends 1767,Dir. 409,Actor 1973,,,,PG-13,32 min,Thriller,A gripping thriller story full of twists.
150,MOVIE,Mystery House 427,,Actor 838,India,17-05-2023,2014.0,PG,12 Seasons,Thriller,A gripping thriller story full of twists.
151,TV Show,Mystery House 473,Dir. 63,"Actor 190, Actor 1050",UK,03-08-2015,,PG-13,38 min,Comedy,An emotional journey about life and relationships.
152,Movie,Midnight Tales 841,,,Canada,"March 07, 2020",,PG-13,,Documentary,
147,tv show,Last Kingdom 1216,Director 433,Actor 1076,United States,2020-09-10,1984.0,TV-14,3 Seasons,Documentary,Unexpected events change everything.
154,movie,Ocean Secrets 320,Director 11,,Germany,2021-04-16,,NR,,Documentary,A gripping documentary story full of twists.
155,Movie,Ocean Secrets 425,Director 388,,Canada,2015-08-30,,NR,110 min,Comedy,A gripping comedy story full of twists.
156,MOVIE,Urban Legends 1078,Dir. 402,,Australia,"November 08, 2022",2011.0,TV-14,6 Seasons,Comedy,
157,tv show,Dark Crime 261,Director 92,,Germany,2022-10-05,,R,9 Season,Sci-Fi,A gripping sci-fi story full of twists.
158,movie,Midnight Tales 202,Director 496,Actor 1017,Australia,,2009.0,NR,77 min,Horror,
159,TV Show,Last Kingdom 442,,,,2025-11-05,,PG,1 Season,Action,An emotional journey about life and relationships.
160,tv show,Midnight Tales 389,,,United States,07-05-2021,1995.0,TV-14,205 min,Sci-Fi,Unexpected events change everything.
71,MOVIE,Hidden Truth 999,,,,,2000.0,R,,Sci-Fi,A gripping sci-fi story full of twists.
162,tv show,Dark Crime 1951,Dir. 148,,India,,,R,,Horror,Unexpected events change everything.
141,Movie,Urban Legends 431,,,Germany,"September 26, 2020",,PG-13,43 min,Comedy,
164,Movie,Lost City 249,,Actor 1855,Canada,28-11-2021,1995.0,PG-13,12 Season,Action,Unexpected events change everything.
165,MOVIE,Broken Dreams 516,Dir. 80,,India,2016-09-26,,NR,,Sci-Fi,A gripping sci-fi story full of twists.
166,TV Show,Mystery House 1012,,Actor 1130,United States,04/28/2023,,PG-13,1 Seasons,Action,A gripping action story full of twists.
167,MOVIE,Midnight Tales 1525,Dir. 337,,,"August 13, 2024",,TV-14,111 min,Action,Unexpected events change everything.
168,TV Show,Ocean Secrets 473,,,,2020-11-04,,NR,,Romance,An emotional journey about life and relationships.
169,TV Show,Mystery House 1800,Dir. 156,,UK,,,NR,192 min,Drama,
170,movie,Lost City 449,,,Australia,,,NR,12 Season,Thriller,Unexpected events change everything.
171,TV Show,Love Story 1534,,Actor 1952,Australia,"February 23, 2018",,PG-13,7 Seasons,Sci-Fi,
172,MOVIE,Broken Dreams 700,,"Actor 491, Actor 715",,"February 25, 2024",2007.0,PG-13,37 min,Romance,A gripping romance story full of twists.
173,TV Show,Secret Files 113,Dir. 414,"Actor 8, Actor 507",,"March 23, 2023",,,5 Season,Thriller,A gripping thriller story full of twists.
174,Movie,Love Story 545,,,Germany,06/14/2017,2015.0,TV-14,,Romance,
175,TV Show,Dark Crime 1828,,,Australia,2022-07-30,2005.0,TV-14,,Romance,
176,tv show,Silent Voices 1298,Director 375,Actor 1755,Germany,,,PG,,Action,Unexpected events change everything.
104,Movie,Mystery House 550,,,United States,"September 07, 2021",1991.0,PG,5 Season,Documentary,An emotional journey about life and relationships.
178,movie,Lost City 170,Director 348,,UK,12-08-2016,2004.0,TV-14,42 min,Action,Unexpected events change everything.
179,MOVIE,Love Story 1478,Director 481,Actor 645,,2020-06-22,1985.0,PG,6 Seasons,Thriller,
180,movie,Lost City 1906,,Actor 1732,Australia,,1984.0,TV-14,31 min,Action,A gripping action story full of twists.
181,TV Show,Love Story 104,,"Actor 91, Actor 845",Australia,29-11-2024,1991.0,PG,,Action,A gripping action story full of twists.
182,Movie,Urban Legends 306,Dir. 307,Actor 747,France,06/12/2025,2001.0,PG,,Horror,Unexpected events change everything.
183,MOVIE,Broken Dreams 1876,,,Canada,2015-05-24,,PG,9 Season,Thriller,An emotional journey about life and relationships.
43,tv show,Broken Dreams 735,,,Germany,"October 12, 2020",,TV-14,185 min,Drama,
185,tv show,Lost City 1988,Director 211,,,,1988.0,TV-14,12 Season,Thriller,An emotional journey about life and relationships.
186,TV Show,Lost City 1724,,"Actor 372, Actor 1269",Canada,2023-07-20,,PG-13,85 min,Sci-Fi,A gripping sci-fi story full of twists.
187,MOVIE,Last Kingdom 1274,Dir. 290,,Germany,,,TV-MA,,Sci-Fi,A gripping sci-fi story full of twists.
188,MOVIE,Hidden Truth 1723,,Actor 540,,,1990.0,PG,,Documentary,An emotional journey about life and relationships.
189,tv show,Mystery House 1137,,Actor 810,Germany,06-01-2018,2000.0,NR,,Documentary,Unexpected events change everything.
190,tv show,Dark Crime 1260,Dir. 241,,United States,,1986.0,TV-MA,,Sci-Fi,A gripping sci-fi story full of twists.
191,Movie,Mystery House 939,Director 488,"Actor 424, Actor 550",Germany,2018-10-06,,,,Comedy,A gripping comedy story full of twists.
192,movie,Midnight Tales 604,,,,03/14/2017,2010.0,PG,7 Seasons,Documentary,A gripping documentary story full of twists.
193,movie,Broken Dreams 1643,Dir. 436,,,,,PG,8 Seasons,Drama,Unexpected events change everything.
194,movie,Midnight Tales 260,Director 279,,Germany,02/12/2021,1983.0,NR,3 Season,Drama,
195,movie,Silent Voices 1580,Director 128,"Actor 239, Actor 1192",,"July 30, 2020",,R,69 min,Comedy,An emotional journey about life and relationships.
196,movie,Urban Legends 1860,Director 365,,United States,2024-05-12,1989.0,TV-14,12 Season,Sci-Fi,
197,tv show,Midnight Tales 349,Director 128,"Actor 472, Actor 1320",Germany,02/14/2024,,TV-MA,2 Seasons,Sci-Fi,A gripping sci-fi story full of twists.
198,tv show,Hidden Truth 374,,,Australia,,1989.0,,8 Season,Sci-Fi,An emotional journey about life and relationships.
199,Movie,Love Story 722,,"Actor 265, Actor 1022",,,,TV-MA,10 Seasons,Drama,Unexpected events change everything.
191,tv show,Last Kingdom 1117,,Actor 1172,,,,,85 min,Comedy,Unexpected events change everything.
201,tv show,Secret Files 1020,,,UK,,1988.0,TV-MA,,Comedy,
202,TV Show,Urban Legends 1224,,Actor 946,India,25-06-2025,,,48 min,Comedy,A gripping comedy story full of twists.
203,MOVIE,Love Story 21,,Actor 951,,30-09-2022,,NR,6 Seasons,Thriller,
204,tv show,Hidden Truth 740,,,Australia,"February 13, 2024",1980.0,R,215 min,Sci-Fi,An emotional journey about life and relationships.
205,MOVIE,Dark Crime 1524,,,,,,TV-14,,Romance,A gripping romance story full of twists.
206,MOVIE,Hidden Truth 106,,Actor 1026,Australia,"September 01, 2017",1983.0,NR,4 Season,Drama,
207,TV Show,Urban Legends 1766,,,India,,,PG-13,6 Season,Comedy,A gripping comedy story full of twists.
208,MOVIE,Hidden Truth 421,,,Germany,"July 18, 2016",2007.0,TV-14,45 min,Drama,A gripping drama story full of twists.
209,MOVIE,Hidden Truth 1747,Director 439,Actor 58,,"February 02, 2021",2020.0,PG,,Action,
210,MOVIE,Secret Files 50,Director 383,,,22-01-2021,,TV-MA,105 min,Sci-Fi,
211,TV Show,Mystery House 482,Dir. 31,,Australia,,,R,2 Season,Sci-Fi,
212,TV Show,Midnight Tales 847,,Actor 1603,Germany,20-06-2020,2013.0,NR,162 min,Comedy,A gripping comedy story full of twists.
213,tv show,Silent Voices 869,Dir. 21,,India,2022-10-10,2017.0,,37 min,Romance,
214,Movie,Broken Dreams 1037,,,India,,2018.0,NR,35 min,Horror,A gripping horror story full of twists.
215,MOVIE,Urban Legends 81,,Actor 1691,UK,17-11-2018,2005.0,TV-14,,Horror,
216,TV Show,Silent Voices 667,Dir. 474,,,2019-04-03,,NR,3 Seasons,Action,An emotional journey about life and relationships.
217,movie,Ocean Secrets 392,Dir. 460,Actor 1465,France,08/08/2025,2011.0,,10 Season,Action,
218,tv show,Broken Dreams 934,,"Actor 203, Actor 662",France,2022-12-10,,R,,Romance,
219,tv show,Hidden Truth 31,,,India,2017-02-15,2017.0,TV-14,,Horror,A gripping horror story full of twists.
220,tv show,Hidden Truth 741,Dir. 315,"Actor 79, Actor 1033",Canada,,1994.0,TV-MA,10 Seasons,Horror,An emotional journey about life and relationships.
221,MOVIE,Lost City 110,,"Actor 100, Actor 1221",Germany,06-06-2023,1989.0,PG-13,,Comedy,
222,TV Show,Ocean Secrets 1308,Dir. 474,,,28-08-2024,2005.0,TV-MA,1 Season,Documentary,A gripping documentary story full of twists.
223,tv show,Mystery House 565,Dir. 240,,United States,,,PG,,Romance,
224,MOVIE,Secret Files 893,,,,,,NR,88 min,Romance,
225,Movie,Broken Dreams 1452,Director 287,,UK,2023-02-09,,NR,1 Seasons,Comedy,
226,movie,Lost City 658,,Actor 430,Canada,,2000.0,R,104 min,Action,Unexpected events change everything.
227,MOVIE,Love Story 508,,,Germany,2017-12-09,,R,,Documentary,
228,Movie,Silent Voices 1990,Director 80,"Actor 383, Actor 580",France,,2010.0,TV-14,,Sci-Fi,A gripping sci-fi story full of twists.
229,Movie,Silent Voices 490,,"Actor 465, Actor 1374",,,2020.0,R,187 min,Documentary,A gripping documentary story full of twists.
230,TV Show,Silent Voices 1394,Director 77,"Actor 256, Actor 1084",,2016-01-17,1993.0,PG-13,2 Season,Comedy,A gripping comedy story full of twists.
231,tv show,Secret Files 54,Dir. 397,,United States,,1993.0,PG,5 Season,Romance,
232,MOVIE,Urban Legends 972,,"Actor 425, Actor 1033",,,2018.0,TV-14,,Sci-Fi,
233,TV Show,Lost City 1337,Dir. 303,,United States,"January 20, 2022",,PG-13,12 Seasons,Drama,
234,movie,Dark Crime 211,,Actor 1345,UK,"May 10, 2024",,TV-14,,Comedy,
235,Movie,Broken Dreams 611,,Actor 733,India,01/23/2017,,NR,54 min,Documentary,
236,TV Show,Silent Voices 1708,Director 296,"Actor 400, Actor 600",,10/23/2019,,PG-13,,Action,A gripping action story full of twists.
237,MOVIE,Hidden Truth 578,,"Actor 69, Actor 1320",,2023-11-28,,TV-MA,61 min,Comedy,
238,tv show,Lost City 1964,,"Actor 45, Actor 576",Australia,"October 06, 2021",,TV-14,4 Season,Horror,Unexpected events change everything.
239,tv show,Love Story 113,,Actor 1254,France,10/30/2025,2025.0,TV-MA,150 min,Sci-Fi,
240,movie,Hidden Truth 1080,,,Canada,2018-03-13,,R,7 Seasons,Thriller,
241,Movie,Broken Dreams 1188,,"Actor 225, Actor 934",Canada,"March 02, 2024",1984.0,,44 min,Documentary,A gripping documentary story full of twists.
242,MOVIE,Hidden Truth 633,Dir. 462,,Germany,,1980.0,R,,Drama,Unexpected events change everything.
243,Movie,Broken Dreams 1608,Dir. 79,,UK,"January 05, 2026",,R,6 Seasons,Documentary,Unexpected events change everything.
209,MOVIE,Lost City 282,Dir. 456,"Actor 341, Actor 640",India,2019-02-27,,NR,,Horror,Unexpected events change everything.
245,TV Show,Midnight Tales 1629,,,Canada,07/01/2021,1980.0,NR,,Documentary,A gripping documentary story full of twists.
246,TV Show,Ocean Secrets 1502,,,France,08/04/2022,1980.0,NR,,Action,A gripping action story full of twists.
247,Movie,Hidden Truth 859,Director 21,,India,28-12-2018,,PG,,Drama,Unexpected events change everything.
248,MOVIE,Hidden Truth 1977,,,India,10/31/2016,1981.0,,,Comedy,
249,MOVIE,Urban Legends 651,,,Canada,,2024.0,TV-14,9 Season,Action,An emotional journey about life and relationships.
